activation,alpha,hidden_layer_sizes,learning_rate_init,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_f1,std_test_f1,mean_test_f1_weighted,std_test_f1_weighted,mean_test_accuracy,std_test_accuracy,mean_fit_time,std_fit_time
relu,0.01,"(16,)",0.001,0.94380996,0.018646766,0.916580732,0.014570286,0.993717228,0.00102433,0.993863451,0.000938488,10.9937037,2.142129682
relu,0.01,"(8, 8)",0.001,0.934901742,0.014342266,0.916495496,0.014231486,0.993742258,0.001027665,0.993950504,0.000944511,10.72795582,2.641137529
relu,0.1,"(8,)",0.001,0.928746218,0.013834992,0.916430024,0.014507499,0.993805309,0.001026435,0.994073961,0.000913774,13.19643064,3.278134819
relu,0.001,"(16, 16)",0.01,0.950153699,0.0184213,0.916321402,0.019047699,0.993565832,0.001461361,0.993646724,0.001463469,9.030817461,1.432049675
tanh,0.01,"(8,)",0.01,0.94291093,0.019989037,0.9163121,0.014523037,0.993657219,0.001048765,0.993835753,0.00098248,4.292816305,1.097620646
tanh,0.0001,"(8,)",0.01,0.935104272,0.019521654,0.916297717,0.014197421,0.993718307,0.001042498,0.993934111,0.000988111,5.068023348,0.959571735
tanh,0.1,"(8, 8)",0.01,0.944813311,0.024580165,0.916171894,0.011995285,0.993579076,0.000836017,0.993715461,0.000780206,3.93053093,1.111322427
relu,0.0001,"(8, 8)",0.001,0.937183102,0.019273176,0.915882876,0.01532979,0.993697127,0.001138879,0.993893637,0.001056767,10.14115424,2.56167787
tanh,0.1,"(64,)",0.01,0.941501538,0.020576223,0.915722685,0.016744947,0.993629319,0.001160521,0.99381936,0.001063159,4.978688288,1.194410014
relu,0.1,"(16,)",0.001,0.931035872,0.012432939,0.915573844,0.014111036,0.9937201,0.001008898,0.993965315,0.000931395,12.49065485,2.066544904
tanh,0.1,"(32,)",0.01,0.944934968,0.01890469,0.915444257,0.012314789,0.993541415,0.001024388,0.993634514,0.001078281,4.652917528,1.214404017
relu,0.1,"(64,)",0.01,0.939269293,0.019542385,0.915146375,0.011456347,0.99360203,0.000766212,0.993788495,0.000699608,7.959278727,1.830561844
tanh,0.01,"(8, 8)",0.01,0.938801911,0.017441261,0.914399947,0.013331094,0.99346675,0.001093198,0.993584317,0.001149458,4.02545619,1.15571463
relu,0.001,"(16,)",0.01,0.957177231,0.016322785,0.914383223,0.016477725,0.993321612,0.001385571,0.993315923,0.001464987,6.561993599,1.707419867
relu,0.0001,"(8, 8)",0.01,0.941197816,0.019420666,0.914193912,0.011888791,0.993501594,0.000875179,0.99365509,0.000838722,8.651112986,1.174563126
relu,0.01,"(8,)",0.001,0.935737098,0.016740542,0.914173589,0.01111428,0.993547782,0.000760541,0.993771763,0.00069251,15.21024289,1.184867011
relu,0.01,"(32,)",0.01,0.947221502,0.022834379,0.91314008,0.015355114,0.993306461,0.001220944,0.99339721,0.001245218,5.875106764,1.182361705
relu,0.1,"(8, 8)",0.01,0.943947047,0.02442518,0.912371328,0.012496807,0.99331739,0.000864919,0.99346346,0.00081675,7.544862175,1.380194537
